review,rating,
"Pake ini disaat muka lagi breakout karna lepas dokter, ini bagus bagus aja ga bikin breakout aku jadi makin bandel cuma sayangnya dia bikin berminyak bgt bgt an!!! Bener bener minyak nempel ditangan, hp, jadi ini recommend buat yang kulit kering, mungkin? Hehe",3,
"Sun screen ini oke banget. Udah harganya murah, hasilnya pun oke, nyerepnya cepet, white castnya ada sih, tapi ga terlalu kentara banget lah. Aku makenya sampe tetes terakhir. Udah lupa udah botol keberapa yang aku pake.

",4,
"Waktu itu iseng beli ini karena sering banget liat iklannya. Pas dicoba di muka, mukaku jadi bruntusan. Belum lagi hasilnya yang oily; jadi gk nyaman. Akhirnya aku pakai buat di tangan. Hasilnya juga biasa aja, nyerapnya lama banget dan karena teksturnya yang kental malah jadi 'berat' dikulit.",3,
"Beli ini karna nyangkanya bakalan cocok dan mgelindungin kulit muka dari sinar matahari pas sekolah , ternyata pas di pake rasa nye sedikit bikin g nyaman Ada efek sedikit pnas di muka gitu , dan bagi aku agak terlalu lengket , tp kalau buat wangin dari prodak ini sii lumayan wangi dan g ganggu...

",3,
"sunscreen pertama yang aku coba, gak cocok sama kulit aku yg oily karena emang lengket banget dan di muka nyerapnya lama. harus aku kipas kipas dulu biar cepet kering. dan dia kalau ditimpa bedak tabur, bikin bedaknya geser geser, terus bikin kusam juga",3,
aku pake ini soalnya banyak bgt review yang bilang kalau produk ini bagus. selama aku pake ini dia ga munculin jerawat/bruntusan baru. dia juga ga nimbulin whitecast. tapi dia bikin muka aku tambah berminyak lumayan banyak. tapi ga terlalu mengganggu juga karena selalu sedia oil control,4,
"sunscreeen kecintaan, aku pakai sunscreen emina ini pas muka aku belang bangett. pas 2 bulan pakai sunscreen ini belang yg dimuka hilang . aku ngerasa setelah makai sunscreen ini kulit aku agak glowing. karna tipe kulit aku oily jadi aku pakainya dikit karna kalau makai kebanyakan bakal kayaknya berminyak banget dan kusam.",5,
"Sunscreen kecintaan akuuu. Since i cannot live without sunscreen, dan pakeknya jg boros2, akhirnya pilihanku jatuh ke produk ini yg isinya byk dan affordable (meski di aku dia sebulan doang udah abis wkwk). Dia spfnya 30 PA +++, udah cukup buat sehari2 asal jgn lupa reapply. Dia finishnya ga seminyakan wardah meski sama2 ninggalin tacky feeling, tp kalau ga nyaman dgn finishnya bisa bgt diset loose powder biar lebih matte. Tp justru itu yg bikin dia makin multifungsi krn if you gonna put make up on top, it will act like a primer for you. Di kulit combi aku jg dia bisa buat skipcare di pagi hari krn finishnya yg udah cukup moisturizing. Tinggal cuci muka, pakai hydrating toner, lalu pakai sunscreen ato pas buru2 langsung pakai sunscreen jg hasilnya tetep oke. Packagingnya tube flip top yg simpel dan praktis, desainnya jg lucu bgt khas emina. Sunscreen affordable buat kulit kering ato combi terbaik!",5,
"sun protection pertama yang aku pakai tanpa purging, SPF 30 yang pas untuk kulit yang ga langsung terpapar sinar matahari cocok untuk muka aku yang sensitif ini, tapi harus touch up krna hanya bertahan untuk beberapa jam saja.",5,
"sunscreen ini di kulit ak lumayan bikin berminyak, muncul beruntusan juga tapi g banyak. biasanya klo biar g berminyak ak kasi loose powder. beruntusannya gak terlalu ganggu soalnya cepet ilang. sun protection nya bekerja di aku, waktu liburan ak rajin pake, balik ke sekolah temen ak jadi bilang kalo ak tambah putih. recommended si tapi klo kulitnya berminyak banget mungkin agak terganggu",4,
"sunscreen yang ringan dikulit tapi bikin kusam diwajah, ga bikin lengket juga harganya juga pas buat anak sekolah, baunya enak tekstur nya agak cair, terus produknya juga lumayan ngurangin belang di wajahku tang setiap harinya pakai hijab dam panas"" an disekolah",4,
"Aku pake ini buat pergi k sekolah, ngaruh sih d ak, habis pake ini mukaku jadi lembap gituu tapi bikin mukaku jadi berminyak bangettt dan jadi kusam. aku ngerekomendasiin buat yg kulitnya normal dan kering",4,
Ini suncsreen nya lumayan ringan dan bagus banget buat base makeup.Belangnya aku juga lumayan ilang nih pake ini.Sayangnya emang rada bikin kusam dikit banget tapi ga ganggu sih aku.Aku udah habis 3botol karena suka dan gampang dicari.Recommend?Yes.Karena murah dan gampang dicari.Cocok buat pemula dan pelajar nih,3,
Aku suka banget sama produk Emina. Tapi setelah aku pake sunscreen ini kulit aku berminyak banget dan keliatan kusam. But it's ok. Aku tetap selalu pake ini kalau mau keluar rumah untuk melindungi kulit aku dari paparan sinar matahari ✨,3,
"kulitku tuh berminyak dan tiada hari tanpa jerawat ini pertama kalinya sih cba sunscreen coba ini karena teman""ku pada pake waktu itu akhirnya beli dan cocok dong, pas dipake kyk seger gitu dan ada aroma buah jeruk gitu, ini mngkin bakalan jadi sunscreen pertama dan terakhirku karena harganya yang ramah",5,
